               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.023342,           0.0078929,            0.010849,             0.98809,             0.99701,             0.99495,             0.81368,            0.012232,           0.0036972,           0.0019163,            0.005248,            0.005248,            0.005248
                  50,            0.023427,           0.0076381,            0.011752,             0.99434,             0.99753,               0.995,             0.83632,            0.011516,           0.0037112,           0.0018816,            0.005149,            0.005149,            0.005149
                  51,            0.023902,           0.0074413,            0.010121,             0.99138,             0.99403,               0.995,             0.82775,            0.010554,           0.0036425,            0.001825,             0.00505,             0.00505,             0.00505
                  52,            0.023148,           0.0073745,            0.011571,             0.98918,             0.99923,               0.995,             0.84589,            0.010651,           0.0035164,           0.0016263,            0.004951,            0.004951,            0.004951
                  53,            0.023906,            0.007519,            0.010458,              0.9922,             0.99841,             0.99494,              0.8477,            0.010537,           0.0035597,           0.0017919,            0.004852,            0.004852,            0.004852
                  54,            0.024218,           0.0076071,           0.0097643,              0.9959,             0.99883,               0.995,             0.85083,            0.010137,           0.0035589,           0.0016044,            0.004753,            0.004753,            0.004753
                  55,            0.023095,           0.0076633,            0.010796,             0.99239,                   1,               0.995,             0.85208,            0.010326,           0.0034665,           0.0016444,            0.004654,            0.004654,            0.004654
                  56,            0.022437,           0.0074796,           0.0087717,             0.99558,             0.99984,               0.995,             0.85967,            0.010018,           0.0034516,           0.0015425,            0.004555,            0.004555,            0.004555
                  57,            0.021609,           0.0072074,           0.0085252,              0.9958,                   1,               0.995,             0.86844,             0.01025,           0.0034392,           0.0014411,            0.004456,            0.004456,            0.004456
                  58,            0.022334,           0.0071904,           0.0095746,             0.98897,             0.99662,               0.995,             0.84979,            0.010407,           0.0034558,           0.0016182,            0.004357,            0.004357,            0.004357
                  59,             0.02156,           0.0073228,            0.009766,             0.99694,                   1,               0.995,             0.86087,           0.0092927,           0.0033069,           0.0014329,            0.004258,            0.004258,            0.004258
                  60,            0.021456,           0.0073457,            0.010667,             0.99305,             0.99767,               0.995,             0.85652,           0.0093331,           0.0034339,           0.0013176,            0.004159,            0.004159,            0.004159
                  61,            0.022629,           0.0072545,           0.0090314,             0.99653,             0.99879,               0.995,             0.87674,           0.0097009,           0.0033676,           0.0012637,             0.00406,             0.00406,             0.00406
                  62,            0.020829,           0.0076651,           0.0088354,             0.99718,                   1,               0.995,             0.86992,           0.0093397,           0.0033284,           0.0013482,            0.003961,            0.003961,            0.003961
                  63,            0.020548,           0.0068952,           0.0075749,              0.9926,             0.99286,             0.99439,              0.8716,            0.009244,           0.0033277,           0.0014827,            0.003862,            0.003862,            0.003862
                  64,            0.020331,           0.0071001,           0.0077736,             0.99702,             0.99957,               0.995,             0.87979,           0.0087424,           0.0032282,           0.0012203,            0.003763,            0.003763,            0.003763
                  65,            0.019192,            0.006639,           0.0076844,             0.99618,             0.99893,               0.995,             0.86883,           0.0086605,           0.0032411,           0.0011978,            0.003664,            0.003664,            0.003664
                  66,            0.020008,           0.0067873,           0.0065921,             0.99718,             0.99971,               0.995,             0.87726,           0.0088994,           0.0031691,           0.0011678,            0.003565,            0.003565,            0.003565
                  67,            0.020668,           0.0069495,           0.0080707,             0.99606,             0.99935,               0.995,             0.88091,           0.0085858,           0.0032039,           0.0012132,            0.003466,            0.003466,            0.003466
                  68,            0.020544,           0.0070364,           0.0077863,             0.99712,                   1,               0.995,             0.88546,           0.0083117,           0.0031227,           0.0011739,            0.003367,            0.003367,            0.003367
                  69,            0.019255,           0.0068109,           0.0073455,             0.99678,             0.99985,               0.995,             0.87542,           0.0088658,           0.0030806,           0.0011294,            0.003268,            0.003268,            0.003268
                  70,             0.01898,           0.0072061,           0.0077886,              0.9975,             0.99989,               0.995,             0.88671,           0.0078986,           0.0030342,           0.0010233,            0.003169,            0.003169,            0.003169
                  71,            0.019377,           0.0064728,           0.0079324,             0.99658,             0.99976,               0.995,             0.88466,           0.0080096,           0.0030413,          0.00099994,             0.00307,             0.00307,             0.00307
                  72,            0.019062,           0.0068894,           0.0081293,             0.99637,             0.99909,               0.995,             0.88772,           0.0080862,           0.0029984,           0.0010151,            0.002971,            0.002971,            0.002971
                  73,            0.018612,           0.0065823,           0.0081383,             0.99569,              0.9998,               0.995,             0.89047,           0.0080405,           0.0030036,           0.0010068,            0.002872,            0.002872,            0.002872
                  74,            0.017964,            0.006802,           0.0070915,             0.99736,             0.99966,               0.995,              0.8963,           0.0072082,            0.002892,          0.00094509,            0.002773,            0.002773,            0.002773
                  75,            0.018312,           0.0064249,           0.0067949,             0.99742,                   1,               0.995,             0.89371,           0.0076319,           0.0029318,           0.0009044,            0.002674,            0.002674,            0.002674
                  76,            0.017445,           0.0064314,           0.0058629,             0.99733,                   1,               0.995,             0.89631,           0.0070286,           0.0029439,          0.00088856,            0.002575,            0.002575,            0.002575
                  77,            0.017828,           0.0064756,           0.0071067,             0.99731,                   1,               0.995,             0.89449,           0.0077726,           0.0029591,          0.00083787,            0.002476,            0.002476,            0.002476
                  78,            0.017738,            0.006399,            0.007568,             0.99703,                   1,               0.995,             0.89759,           0.0070851,           0.0028749,           0.0008346,            0.002377,            0.002377,            0.002377
                  79,            0.017436,           0.0064993,            0.006606,             0.99736,                   1,               0.995,             0.90189,           0.0071562,           0.0028149,          0.00078117,            0.002278,            0.002278,            0.002278
                  80,             0.01683,           0.0065876,           0.0067433,             0.99716,                   1,               0.995,             0.90219,           0.0072819,           0.0028133,          0.00075157,            0.002179,            0.002179,            0.002179
                  81,            0.017663,           0.0062562,           0.0056592,             0.99759,                   1,               0.995,             0.90144,           0.0073147,           0.0027899,          0.00072117,             0.00208,             0.00208,             0.00208
                  82,            0.016422,             0.00647,            0.005407,             0.99743,                   1,               0.995,             0.91059,           0.0069055,           0.0027649,          0.00069961,            0.001981,            0.001981,            0.001981
                  83,            0.016394,            0.006264,           0.0052723,             0.99761,                   1,               0.995,             0.91288,           0.0071466,           0.0027428,          0.00068915,            0.001882,            0.001882,            0.001882
                  84,            0.016597,           0.0063414,           0.0049186,             0.99746,                   1,               0.995,             0.91065,           0.0067651,           0.0027215,           0.0006683,            0.001783,            0.001783,            0.001783
                  85,            0.016285,           0.0061195,           0.0049609,             0.99738,                   1,               0.995,             0.91448,           0.0066176,           0.0026448,          0.00064961,            0.001684,            0.001684,            0.001684
                  86,            0.015891,            0.006211,           0.0050525,             0.99749,                   1,               0.995,             0.92003,           0.0061052,           0.0026226,          0.00062138,            0.001585,            0.001585,            0.001585
                  87,            0.015665,           0.0060074,           0.0055346,             0.99775,                   1,               0.995,             0.92107,           0.0062778,           0.0025608,          0.00059159,            0.001486,            0.001486,            0.001486
                  88,            0.015096,           0.0063203,           0.0052584,             0.99748,                   1,               0.995,             0.92158,           0.0062386,           0.0025636,          0.00056173,            0.001387,            0.001387,            0.001387
                  89,            0.015199,           0.0059969,           0.0045631,             0.99783,                   1,               0.995,             0.91873,           0.0060374,           0.0026432,          0.00053971,            0.001288,            0.001288,            0.001288
                  90,            0.015182,           0.0058295,           0.0046651,              0.9977,                   1,               0.995,             0.92037,           0.0061198,           0.0025948,          0.00051132,            0.001189,            0.001189,            0.001189
                  91,            0.015045,             0.00621,           0.0055251,             0.99772,                   1,               0.995,             0.92771,           0.0058132,           0.0025643,          0.00049404,             0.00109,             0.00109,             0.00109
                  92,            0.015691,            0.005998,           0.0061672,              0.9977,                   1,               0.995,             0.92887,           0.0056808,           0.0024981,          0.00047176,            0.000991,            0.000991,            0.000991
                  93,            0.014601,           0.0059733,           0.0053085,             0.99737,                   1,               0.995,             0.92768,           0.0058076,           0.0024687,          0.00045223,            0.000892,            0.000892,            0.000892
                  94,            0.014349,           0.0056237,           0.0056305,             0.99761,                   1,               0.995,             0.93285,           0.0055675,           0.0024259,          0.00043718,            0.000793,            0.000793,            0.000793
                  95,            0.013518,           0.0058442,           0.0047266,             0.99758,                   1,               0.995,             0.92433,           0.0057588,           0.0024505,          0.00042174,            0.000694,            0.000694,            0.000694
                  96,            0.013755,            0.005708,           0.0042302,             0.99766,                   1,               0.995,             0.93287,           0.0055581,           0.0024396,          0.00040034,            0.000595,            0.000595,            0.000595
                  97,            0.013545,            0.005843,           0.0042599,             0.99764,             0.99998,               0.995,             0.93431,           0.0055984,           0.0024204,          0.00038714,            0.000496,            0.000496,            0.000496
                  98,            0.013542,           0.0059054,           0.0045724,             0.99778,                   1,               0.995,             0.93656,           0.0054894,           0.0024084,          0.00037139,            0.000397,            0.000397,            0.000397
                  99,             0.01333,           0.0056021,           0.0046736,             0.99774,                   1,               0.995,              0.9376,           0.0053206,           0.0023815,          0.00036174,            0.000298,            0.000298,            0.000298
